DATE,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS
19082022,CHEMPLASTS,EQ, 19-Aug-2022,436.5,440.0,440.4,425.0, 427.95,427.4,431.9,151595,654.74,7538,88600.0,58.45,382
19082022,CHENNPETRO,EQ, 19-Aug-2022,283.95,284.85,299.8,278.15, 284.50,283.45,290.56,5181404,15055.32,49974,1380229.0,26.64,4010
19082022,CHEVIOT,EQ, 19-Aug-2022,1222.5,1211.25,1229.6,1198.05, 1216.00,1206.1,1207.23,2723,32.87,658,1831.0,67.24,22
19082022,CHOICEIN,EQ, 19-Aug-2022,432.25,430.1,439.0,430.1, 433.95,432.45,433.49,15090,65.41,718,2594.0,17.19,11
19082022,CHOLAFIN,EQ, 19-Aug-2022,781.7,781.7,793.0,772.15, 776.15,777.8,782.78,1537476,12035.0,37585,602539.0,39.19,4716
19082022,CHOLAHLDNG,EQ, 19-Aug-2022,654.75,663.0,668.3,644.0, 649.00,653.2,656.78,169601,1113.91,6884,123065.0,72.56,808
19082022,CIGNITITEC,EQ, 19-Aug-2022,567.45,562.5,567.9,557.35, 561.50,562.95,564.59,76614,432.55,2535,50287.0,65.64,283
19082022,CINELINE,EQ, 19-Aug-2022,153.3,152.1,153.4,146.0, 147.90,147.25,148.93,61980,92.31,894,49522.0,79.9,73
19082022,CINEVISTA,EQ, 19-Aug-2022,13.25,13.45,13.45,13.0, 13.05,13.1,13.09,10344,1.35,70,7917.0,76.54,1
19082022,CIPLA,EQ, 19-Aug-2022,1032.2,1029.05,1036.6,1020.1, 1029.00,1030.1,1028.21,654004,6724.53,27944,159973.0,24.46,1644
19082022,CLEAN,EQ, 19-Aug-2022,1736.5,1748.8,1766.0,1705.05, 1744.00,1744.7,1737.06,209222,3634.31,15808,114071.0,54.52,1981
19082022,CLEDUCATE,EQ, 19-Aug-2022,151.7,154.0,166.0,146.55, 162.00,160.8,156.53,216271,338.52,2693,99645.0,46.07,155
19082022,CLNINDIA,EQ, 19-Aug-2022,425.2,425.3,431.0,422.0, 424.60,424.0,425.67,16766,71.37,2052,11154.0,66.53,47
19082022,CLSEL,EQ, 19-Aug-2022,106.35,106.8,106.8,102.7, 103.00,103.05,103.93,110422,114.76,2072,74432.0,67.41,77
19082022,CMICABLES,EQ, 19-Aug-2022,24.2,23.65,28.0,23.65, 26.40,26.45,26.61,285704,76.03,2469,108077.0,37.83,28
19082022,CMSINFO,EQ, 19-Aug-2022,271.85,272.4,277.0,263.1, 265.70,265.8,267.7,203262,544.14,5826,120047.0,59.06,321
19082022,COALINDIA,EQ, 19-Aug-2022,221.75,221.65,221.65,215.7, 216.50,217.15,217.89,8783707,19139.25,65440,5022455.0,57.18,10943
19082022,COASTCORP,EQ, 19-Aug-2022,331.6,338.75,347.5,325.0, 329.50,329.15,336.16,63974,215.06,2982,31514.0,49.26,105
19082022,COCHINSHIP,EQ, 19-Aug-2022,342.25,342.6,346.0,337.1, 337.10,338.25,342.21,103181,353.09,4267,49497.0,47.97,169
19082022,COFFEEDAY,EQ, 19-Aug-2022,49.15,49.45,51.3,48.05, 48.30,48.75,49.81,2448041,1219.27,9293,1285151.0,52.5,640
19082022,COFORGE,EQ, 19-Aug-2022,3900.6,3921.0,4058.6,3891.0, 3901.00,3923.7,4001.59,971275,38866.45,68385,169779.0,17.48,6793
19082022,COLPAL,EQ, 19-Aug-2022,1566.1,1566.0,1582.2,1553.55, 1564.85,1567.2,1567.47,220325,3453.53,15351,90773.0,41.2,1422
19082022,COMPINFO,EQ, 19-Aug-2022,24.05,24.2,25.4,23.95, 24.55,24.45,24.71,540240,133.48,2547,234204.0,43.35,57
19082022,COMPUSOFT,EQ, 19-Aug-2022,22.8,22.8,23.2,22.3, 22.75,22.6,22.68,135395,30.71,930,86519.0,63.9,19
19082022,CONCOR,EQ, 19-Aug-2022,703.9,706.0,706.65,680.5, 682.60,683.45,690.56,962685,6647.89,29595,404541.0,42.02,2793
19082022,CONFIPET,EQ, 19-Aug-2022,58.75,60.0,63.4,59.5, 62.20,62.15,61.97,2630437,1630.08,14418,1337537.0,50.85,828
19082022,CONSOFINVT,EQ, 19-Aug-2022,139.35,139.45,141.7,130.0, 130.00,131.4,134.19,9766,13.1,348,6096.0,62.42,8
19082022,CONSUMBEES,EQ, 19-Aug-2022,86.16,86.0,86.84,84.61, 85.14,85.06,85.57,24265,20.76,354,17682.0,72.87,15
19082022,CONTROLPR,EQ, 19-Aug-2022,473.0,477.65,485.0,463.0, 463.50,465.05,473.89,35107,166.37,2621,17886.0,50.95,84
19082022,CORALFINAC,EQ, 19-Aug-2022,38.55,39.0,39.0,38.5, 38.55,38.65,38.66,15585,6.03,184,12463.0,79.97,4
19082022,CORDSCABLE,EQ, 19-Aug-2022,56.55,57.45,60.0,56.05, 58.50,59.3,58.78,113344,66.62,1332,34070.0,30.06,20
19082022,COROMANDEL,EQ, 19-Aug-2022,1050.95,1052.0,1059.25,1021.45, 1034.00,1031.55,1035.98,291937,3024.4,14557,134613.0,46.11,1394
19082022,COSMOFIRST,EQ, 19-Aug-2022,909.35,910.55,925.0,894.0, 903.10,897.2,909.53,118478,1077.6,7879,53881.0,45.48,490
19082022,COUNCODOS,EQ, 19-Aug-2022,4.3,4.25,4.3,4.1, 4.10,4.15,4.2,94038,3.95,150,75602.0,80.4,3
19082022,CPSEETF,EQ, 19-Aug-2022,35.9,36.19,36.19,35.42, 35.55,35.49,35.54,2045744,726.97,2716,1962525.0,95.93,697
19082022,CRAFTSMAN,EQ, 19-Aug-2022,2785.25,2810.0,2820.0,2709.0, 2723.30,2717.0,2753.14,21777,599.55,4949,9446.0,43.38,260
19082022,CREATIVE,EQ, 19-Aug-2022,506.5,499.35,525.0,499.35, 509.00,506.9,509.62,7239,36.89,249,5541.0,76.54,28
19082022,CREDITACC,EQ, 19-Aug-2022,1016.5,1020.0,1022.35,995.05, 1006.00,1009.3,1006.29,113898,1146.15,10359,40227.0,35.32,404
19082022,CREST,EQ, 19-Aug-2022,184.75,185.2,189.8,184.0, 186.10,188.0,187.26,30304,56.75,782,21039.0,69.43,39
19082022,CRISIL,EQ, 19-Aug-2022,3278.15,3290.0,3340.9,3254.0, 3257.00,3271.8,3301.49,50989,1683.4,11579,25397.0,49.81,838
19082022,CROMPTON,EQ, 19-Aug-2022,395.85,397.9,403.25,393.9, 394.55,395.95,397.32,1342286,5333.17,25562,596418.0,44.43,2369
19082022,CSBBANK,EQ, 19-Aug-2022,207.15,208.15,210.1,207.05, 208.30,207.8,208.41,174761,364.22,5636,79016.0,45.21,164
19082022,CSLFINANCE,EQ, 19-Aug-2022,262.05,269.0,269.0,242.5, 247.00,246.25,249.64,70337,175.59,1526,49656.0,70.6,123
